Original_Index,ReliabilityAwareScore,ReliabilityAwareRank,Rank_Source
11,0.14735626867311613,37,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
332,0.14549164542173512,38,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
423,0.13889141492342236,39,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
82,0.13755902251008936,40,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
90,0.1245889312938692,41,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
78,0.11587986286877194,42,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
77,0.11584070666099333,43,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
417,0.10808036908277358,44,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
15,0.10509342122814597,45,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
25,0.10498456427727978,46,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
370,0.1045395734845882,47,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
390,0.08336995345266812,48,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
165,0.07781268584077733,49,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
70,0.07612415636630088,50,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
437,0.07384362162905031,51,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
336,0.07030601011642423,52,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
426,0.06794070556202561,53,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
433,0.06794070556202561,54,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
447,0.06794070556202561,55,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
227,0.06738959797348715,56,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
383,0.06042797048502595,57,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
55,0.05313089831965062,58,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
30,0.048476766975982105,59,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
409,0.04576355286188544,60,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
0,0.043222747126350214,61,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
22,0.032485480459446214,62,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
101,0.028717752112411205,63,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
428,0.024690794710982678,64,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
442,0.024690794710982678,65,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
373,0.022943905273900556,66,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
245,0.009117199430480893,67,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
379,-0.00499450857036382,68,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
72,-0.01632546769543619,69,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
443,-0.021315454734427447,70,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
46,-0.02180793166374234,71,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
396,-0.029517066569554773,72,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
93,-0.03529885600850985,73,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
57,-0.05372018451315563,74,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
56,-0.0582681887799843,75,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
400,-0.05924531098150179,76,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
180,-0.06304260989205868,77,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
401,-0.07143278851404991,78,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
398,-0.07205249665865793,79,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
368,-0.08412287124988227,80,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
42,-0.09963494662874783,81,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
76,-0.11831494671976583,82,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
338,-0.18712920029472896,83,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
33,-0.20535901204791773,84,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
244,-0.2079866942075268,85,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
355,-0.22817342660027085,86,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
19,-0.25410980034117203,87,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
153,-0.41830174260056585,88,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
248,-0.4682053588945017,89,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
340,-0.7606424517768944,90,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
204,-0.8050158417842915,91,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
