Subset_Size,Selection_Definition,Pair_Number,Outer_A,Outer_B,Jaccard,Empty_Reduced_Sets
3,Including_Mandatory,284,R04_F04,R05_F04,1.0,False
3,Including_Mandatory,285,R04_F04,R05_F05,1.0,False
3,Including_Mandatory,286,R04_F05,R05_F01,1.0,False
3,Including_Mandatory,287,R04_F05,R05_F02,1.0,False
3,Including_Mandatory,288,R04_F05,R05_F03,1.0,False
3,Including_Mandatory,289,R04_F05,R05_F04,1.0,False
3,Including_Mandatory,290,R04_F05,R05_F05,1.0,False
3,Including_Mandatory,291,R05_F01,R05_F02,1.0,False
3,Including_Mandatory,292,R05_F01,R05_F03,1.0,False
3,Including_Mandatory,293,R05_F01,R05_F04,1.0,False
3,Including_Mandatory,294,R05_F01,R05_F05,1.0,False
3,Including_Mandatory,295,R05_F02,R05_F03,1.0,False
3,Including_Mandatory,296,R05_F02,R05_F04,1.0,False
3,Including_Mandatory,297,R05_F02,R05_F05,1.0,False
3,Including_Mandatory,298,R05_F03,R05_F04,1.0,False
3,Including_Mandatory,299,R05_F03,R05_F05,1.0,False
3,Including_Mandatory,300,R05_F04,R05_F05,1.0,False
3,Excluding_Mandatory,1,R01_F01,R01_F02,,True
3,Excluding_Mandatory,2,R01_F01,R01_F03,,True
3,Excluding_Mandatory,3,R01_F01,R01_F04,,True
3,Excluding_Mandatory,4,R01_F01,R01_F05,,True
3,Excluding_Mandatory,5,R01_F01,R02_F01,,True
3,Excluding_Mandatory,6,R01_F01,R02_F02,,True
3,Excluding_Mandatory,7,R01_F01,R02_F03,,True
3,Excluding_Mandatory,8,R01_F01,R02_F04,,True
3,Excluding_Mandatory,9,R01_F01,R02_F05,,True
3,Excluding_Mandatory,10,R01_F01,R03_F01,,True
3,Excluding_Mandatory,11,R01_F01,R03_F02,,True
3,Excluding_Mandatory,12,R01_F01,R03_F03,,True
3,Excluding_Mandatory,13,R01_F01,R03_F04,,True
3,Excluding_Mandatory,14,R01_F01,R03_F05,,True
3,Excluding_Mandatory,15,R01_F01,R04_F01,,True
3,Excluding_Mandatory,16,R01_F01,R04_F02,,True
3,Excluding_Mandatory,17,R01_F01,R04_F03,,True
3,Excluding_Mandatory,18,R01_F01,R04_F04,,True
3,Excluding_Mandatory,19,R01_F01,R04_F05,,True
3,Excluding_Mandatory,20,R01_F01,R05_F01,,True
3,Excluding_Mandatory,21,R01_F01,R05_F02,,True
3,Excluding_Mandatory,22,R01_F01,R05_F03,,True
3,Excluding_Mandatory,23,R01_F01,R05_F04,,True
3,Excluding_Mandatory,24,R01_F01,R05_F05,,True
3,Excluding_Mandatory,25,R01_F02,R01_F03,,True
3,Excluding_Mandatory,26,R01_F02,R01_F04,,True
3,Excluding_Mandatory,27,R01_F02,R01_F05,,True
3,Excluding_Mandatory,28,R01_F02,R02_F01,,True
3,Excluding_Mandatory,29,R01_F02,R02_F02,,True
3,Excluding_Mandatory,30,R01_F02,R02_F03,,True
3,Excluding_Mandatory,31,R01_F02,R02_F04,,True
3,Excluding_Mandatory,32,R01_F02,R02_F05,,True
3,Excluding_Mandatory,33,R01_F02,R03_F01,,True
3,Excluding_Mandatory,34,R01_F02,R03_F02,,True
3,Excluding_Mandatory,35,R01_F02,R03_F03,,True
3,Excluding_Mandatory,36,R01_F02,R03_F04,,True
3,Excluding_Mandatory,37,R01_F02,R03_F05,,True
3,Excluding_Mandatory,38,R01_F02,R04_F01,,True
3,Excluding_Mandatory,39,R01_F02,R04_F02,,True
3,Excluding_Mandatory,40,R01_F02,R04_F03,,True
3,Excluding_Mandatory,41,R01_F02,R04_F04,,True
3,Excluding_Mandatory,42,R01_F02,R04_F05,,True
3,Excluding_Mandatory,43,R01_F02,R05_F01,,True
3,Excluding_Mandatory,44,R01_F02,R05_F02,,True
3,Excluding_Mandatory,45,R01_F02,R05_F03,,True
3,Excluding_Mandatory,46,R01_F02,R05_F04,,True
3,Excluding_Mandatory,47,R01_F02,R05_F05,,True
3,Excluding_Mandatory,48,R01_F03,R01_F04,,True
3,Excluding_Mandatory,49,R01_F03,R01_F05,,True
3,Excluding_Mandatory,50,R01_F03,R02_F01,,True
3,Excluding_Mandatory,51,R01_F03,R02_F02,,True
3,Excluding_Mandatory,52,R01_F03,R02_F03,,True
3,Excluding_Mandatory,53,R01_F03,R02_F04,,True
3,Excluding_Mandatory,54,R01_F03,R02_F05,,True
3,Excluding_Mandatory,55,R01_F03,R03_F01,,True
3,Excluding_Mandatory,56,R01_F03,R03_F02,,True
3,Excluding_Mandatory,57,R01_F03,R03_F03,,True
3,Excluding_Mandatory,58,R01_F03,R03_F04,,True
3,Excluding_Mandatory,59,R01_F03,R03_F05,,True
3,Excluding_Mandatory,60,R01_F03,R04_F01,,True
3,Excluding_Mandatory,61,R01_F03,R04_F02,,True
3,Excluding_Mandatory,62,R01_F03,R04_F03,,True
3,Excluding_Mandatory,63,R01_F03,R04_F04,,True
3,Excluding_Mandatory,64,R01_F03,R04_F05,,True
3,Excluding_Mandatory,65,R01_F03,R05_F01,,True
3,Excluding_Mandatory,66,R01_F03,R05_F02,,True
3,Excluding_Mandatory,67,R01_F03,R05_F03,,True
3,Excluding_Mandatory,68,R01_F03,R05_F04,,True
3,Excluding_Mandatory,69,R01_F03,R05_F05,,True
3,Excluding_Mandatory,70,R01_F04,R01_F05,,True
3,Excluding_Mandatory,71,R01_F04,R02_F01,,True
3,Excluding_Mandatory,72,R01_F04,R02_F02,,True
3,Excluding_Mandatory,73,R01_F04,R02_F03,,True
3,Excluding_Mandatory,74,R01_F04,R02_F04,,True
3,Excluding_Mandatory,75,R01_F04,R02_F05,,True
3,Excluding_Mandatory,76,R01_F04,R03_F01,,True
3,Excluding_Mandatory,77,R01_F04,R03_F02,,True
3,Excluding_Mandatory,78,R01_F04,R03_F03,,True
3,Excluding_Mandatory,79,R01_F04,R03_F04,,True
3,Excluding_Mandatory,80,R01_F04,R03_F05,,True
3,Excluding_Mandatory,81,R01_F04,R04_F01,,True
3,Excluding_Mandatory,82,R01_F04,R04_F02,,True
3,Excluding_Mandatory,83,R01_F04,R04_F03,,True
3,Excluding_Mandatory,84,R01_F04,R04_F04,,True
3,Excluding_Mandatory,85,R01_F04,R04_F05,,True
3,Excluding_Mandatory,86,R01_F04,R05_F01,,True
3,Excluding_Mandatory,87,R01_F04,R05_F02,,True
3,Excluding_Mandatory,88,R01_F04,R05_F03,,True
3,Excluding_Mandatory,89,R01_F04,R05_F04,,True
3,Excluding_Mandatory,90,R01_F04,R05_F05,,True
3,Excluding_Mandatory,91,R01_F05,R02_F01,,True
3,Excluding_Mandatory,92,R01_F05,R02_F02,,True
3,Excluding_Mandatory,93,R01_F05,R02_F03,,True
3,Excluding_Mandatory,94,R01_F05,R02_F04,,True
3,Excluding_Mandatory,95,R01_F05,R02_F05,,True
3,Excluding_Mandatory,96,R01_F05,R03_F01,,True
3,Excluding_Mandatory,97,R01_F05,R03_F02,,True
3,Excluding_Mandatory,98,R01_F05,R03_F03,,True
3,Excluding_Mandatory,99,R01_F05,R03_F04,,True
3,Excluding_Mandatory,100,R01_F05,R03_F05,,True
3,Excluding_Mandatory,101,R01_F05,R04_F01,,True
3,Excluding_Mandatory,102,R01_F05,R04_F02,,True
3,Excluding_Mandatory,103,R01_F05,R04_F03,,True
3,Excluding_Mandatory,104,R01_F05,R04_F04,,True
3,Excluding_Mandatory,105,R01_F05,R04_F05,,True
3,Excluding_Mandatory,106,R01_F05,R05_F01,,True
3,Excluding_Mandatory,107,R01_F05,R05_F02,,True
3,Excluding_Mandatory,108,R01_F05,R05_F03,,True
3,Excluding_Mandatory,109,R01_F05,R05_F04,,True
3,Excluding_Mandatory,110,R01_F05,R05_F05,,True
3,Excluding_Mandatory,111,R02_F01,R02_F02,,True
3,Excluding_Mandatory,112,R02_F01,R02_F03,,True
3,Excluding_Mandatory,113,R02_F01,R02_F04,,True
3,Excluding_Mandatory,114,R02_F01,R02_F05,,True
3,Excluding_Mandatory,115,R02_F01,R03_F01,,True
3,Excluding_Mandatory,116,R02_F01,R03_F02,,True
3,Excluding_Mandatory,117,R02_F01,R03_F03,,True
3,Excluding_Mandatory,118,R02_F01,R03_F04,,True
3,Excluding_Mandatory,119,R02_F01,R03_F05,,True
3,Excluding_Mandatory,120,R02_F01,R04_F01,,True
3,Excluding_Mandatory,121,R02_F01,R04_F02,,True
3,Excluding_Mandatory,122,R02_F01,R04_F03,,True
3,Excluding_Mandatory,123,R02_F01,R04_F04,,True
3,Excluding_Mandatory,124,R02_F01,R04_F05,,True
3,Excluding_Mandatory,125,R02_F01,R05_F01,,True
3,Excluding_Mandatory,126,R02_F01,R05_F02,,True
3,Excluding_Mandatory,127,R02_F01,R05_F03,,True
3,Excluding_Mandatory,128,R02_F01,R05_F04,,True
3,Excluding_Mandatory,129,R02_F01,R05_F05,,True
3,Excluding_Mandatory,130,R02_F02,R02_F03,,True
3,Excluding_Mandatory,131,R02_F02,R02_F04,,True
3,Excluding_Mandatory,132,R02_F02,R02_F05,,True
3,Excluding_Mandatory,133,R02_F02,R03_F01,,True
3,Excluding_Mandatory,134,R02_F02,R03_F02,,True
3,Excluding_Mandatory,135,R02_F02,R03_F03,,True
3,Excluding_Mandatory,136,R02_F02,R03_F04,,True
3,Excluding_Mandatory,137,R02_F02,R03_F05,,True
3,Excluding_Mandatory,138,R02_F02,R04_F01,,True
3,Excluding_Mandatory,139,R02_F02,R04_F02,,True
3,Excluding_Mandatory,140,R02_F02,R04_F03,,True
3,Excluding_Mandatory,141,R02_F02,R04_F04,,True
3,Excluding_Mandatory,142,R02_F02,R04_F05,,True
3,Excluding_Mandatory,143,R02_F02,R05_F01,,True
3,Excluding_Mandatory,144,R02_F02,R05_F02,,True
3,Excluding_Mandatory,145,R02_F02,R05_F03,,True
3,Excluding_Mandatory,146,R02_F02,R05_F04,,True
3,Excluding_Mandatory,147,R02_F02,R05_F05,,True
3,Excluding_Mandatory,148,R02_F03,R02_F04,,True
3,Excluding_Mandatory,149,R02_F03,R02_F05,,True
3,Excluding_Mandatory,150,R02_F03,R03_F01,,True
3,Excluding_Mandatory,151,R02_F03,R03_F02,,True
3,Excluding_Mandatory,152,R02_F03,R03_F03,,True
3,Excluding_Mandatory,153,R02_F03,R03_F04,,True
