Validation_Type,Repeat,Fold,Outer_ID,Original_Index,Role,Composition_ID,Group_Overlap
Fixed_Rowwise,1,1,R01_F01,60,Training,COMP-3f22c6642a7a1344,
Fixed_Rowwise,1,1,R01_F01,61,Training,COMP-3f22c6642a7a1344,
Fixed_Rowwise,1,1,R01_F01,62,Training,COMP-21d126c9d34df073,
Fixed_Rowwise,1,1,R01_F01,63,Training,COMP-21d126c9d34df073,
Fixed_Rowwise,1,1,R01_F01,64,Training,COMP-3157f0dc71f862ff,
Fixed_Rowwise,1,1,R01_F01,65,Training,COMP-7c0b488137fafb3b,
Fixed_Rowwise,1,1,R01_F01,67,Training,COMP-49d8e1edbf1c2fbd,
Fixed_Rowwise,1,1,R01_F01,68,Training,COMP-21d126c9d34df073,
Fixed_Rowwise,1,1,R01_F01,80,Training,COMP-a14831ff30c0b14d,
Fixed_Rowwise,1,1,R01_F01,83,Training,COMP-e913f917a7e36868,
Fixed_Rowwise,1,1,R01_F01,84,Training,COMP-a14831ff30c0b14d,
Fixed_Rowwise,1,1,R01_F01,85,Training,COMP-e913f917a7e36868,
Fixed_Rowwise,1,1,R01_F01,86,Training,COMP-ea2a626c3522e4a5,
Fixed_Rowwise,1,1,R01_F01,87,Training,COMP-a14831ff30c0b14d,
Fixed_Rowwise,1,1,R01_F01,88,Training,COMP-ea2a626c3522e4a5,
Fixed_Rowwise,1,1,R01_F01,92,Training,COMP-ea2a626c3522e4a5,
Fixed_Rowwise,1,1,R01_F01,94,Training,COMP-ea2a626c3522e4a5,
Fixed_Rowwise,1,1,R01_F01,95,Training,COMP-ea2a626c3522e4a5,
Fixed_Rowwise,1,1,R01_F01,96,Training,COMP-ea2a626c3522e4a5,
Fixed_Rowwise,1,1,R01_F01,97,Training,COMP-a14831ff30c0b14d,
Fixed_Rowwise,1,1,R01_F01,98,Training,COMP-e913f917a7e36868,
Fixed_Rowwise,1,1,R01_F01,100,Training,COMP-ea2a626c3522e4a5,
Fixed_Rowwise,1,1,R01_F01,102,Training,COMP-435a8f4ba56d8b5d,
Fixed_Rowwise,1,1,R01_F01,103,Training,COMP-435a8f4ba56d8b5d,
Fixed_Rowwise,1,1,R01_F01,104,Training,COMP-435a8f4ba56d8b5d,
Fixed_Rowwise,1,1,R01_F01,105,Training,COMP-435a8f4ba56d8b5d,
Fixed_Rowwise,1,1,R01_F01,106,Training,COMP-435a8f4ba56d8b5d,
Fixed_Rowwise,1,1,R01_F01,111,Training,COMP-c1d72bb5d7d164b0,
Fixed_Rowwise,1,1,R01_F01,112,Training,COMP-c1d72bb5d7d164b0,
Fixed_Rowwise,1,1,R01_F01,114,Training,COMP-6360354242bed7fe,
Fixed_Rowwise,1,1,R01_F01,115,Training,COMP-15c7378d46cadefa,
Fixed_Rowwise,1,1,R01_F01,118,Training,COMP-8bbe9ce01fb6a2d3,
Fixed_Rowwise,1,1,R01_F01,120,Training,COMP-8bbe9ce01fb6a2d3,
Fixed_Rowwise,1,1,R01_F01,121,Training,COMP-b2e9edd7bc55d085,
Fixed_Rowwise,1,1,R01_F01,122,Training,COMP-b2e9edd7bc55d085,
Fixed_Rowwise,1,1,R01_F01,125,Training,COMP-0ee2ef468faff8db,
Fixed_Rowwise,1,1,R01_F01,127,Training,COMP-5502f8bc72167a0b,
Fixed_Rowwise,1,1,R01_F01,130,Training,COMP-89919c53d3149a2d,
Fixed_Rowwise,1,1,R01_F01,134,Training,COMP-89919c53d3149a2d,
Fixed_Rowwise,1,1,R01_F01,135,Training,COMP-89919c53d3149a2d,
Fixed_Rowwise,1,1,R01_F01,138,Training,COMP-89919c53d3149a2d,
Fixed_Rowwise,1,1,R01_F01,139,Training,COMP-89919c53d3149a2d,
Fixed_Rowwise,1,1,R01_F01,141,Training,COMP-89919c53d3149a2d,
Fixed_Rowwise,1,1,R01_F01,142,Training,COMP-89919c53d3149a2d,
Fixed_Rowwise,1,1,R01_F01,143,Training,COMP-89919c53d3149a2d,
Fixed_Rowwise,1,1,R01_F01,145,Training,COMP-89919c53d3149a2d,
Fixed_Rowwise,1,1,R01_F01,146,Training,COMP-266a388f7afdbe91,
Fixed_Rowwise,1,1,R01_F01,148,Training,COMP-150ce51691dfb5f9,
Fixed_Rowwise,1,1,R01_F01,149,Training,COMP-266a388f7afdbe91,
Fixed_Rowwise,1,1,R01_F01,150,Training,COMP-055230aabe7d502c,
Fixed_Rowwise,1,1,R01_F01,152,Training,COMP-055230aabe7d502c,
Fixed_Rowwise,1,1,R01_F01,154,Training,COMP-150ce51691dfb5f9,
Fixed_Rowwise,1,1,R01_F01,156,Training,COMP-941f92def7f50542,
Fixed_Rowwise,1,1,R01_F01,157,Training,COMP-ddfcf6030a718a0c,
Fixed_Rowwise,1,1,R01_F01,159,Training,COMP-0346738121cb655e,
Fixed_Rowwise,1,1,R01_F01,160,Training,COMP-0346738121cb655e,
Fixed_Rowwise,1,1,R01_F01,161,Training,COMP-eacd4f126ab29a30,
Fixed_Rowwise,1,1,R01_F01,163,Training,COMP-b2e9edd7bc55d085,
Fixed_Rowwise,1,1,R01_F01,164,Training,COMP-941f92def7f50542,
Fixed_Rowwise,1,1,R01_F01,167,Training,COMP-eacd4f126ab29a30,
Fixed_Rowwise,1,1,R01_F01,168,Training,COMP-92ed17371ff559b6,
Fixed_Rowwise,1,1,R01_F01,172,Training,COMP-92ed17371ff559b6,
Fixed_Rowwise,1,1,R01_F01,173,Training,COMP-0d41a2cf75110ad6,
Fixed_Rowwise,1,1,R01_F01,174,Training,COMP-a35a20d65351aafe,
Fixed_Rowwise,1,1,R01_F01,176,Training,COMP-5479c448b954c055,
Fixed_Rowwise,1,1,R01_F01,177,Training,COMP-5479c448b954c055,
Fixed_Rowwise,1,1,R01_F01,181,Training,COMP-69c6ecd7284d3b47,
Fixed_Rowwise,1,1,R01_F01,186,Training,COMP-0966c0019ec07f39,
Fixed_Rowwise,1,1,R01_F01,187,Training,COMP-a7670bf71188b1d6,
Fixed_Rowwise,1,1,R01_F01,188,Training,COMP-a7670bf71188b1d6,
Fixed_Rowwise,1,1,R01_F01,193,Training,COMP-889d7d6c6dbf5b76,
Fixed_Rowwise,1,1,R01_F01,197,Training,COMP-880bd22028629a8e,
Fixed_Rowwise,1,1,R01_F01,200,Training,COMP-b878df279a448475,
Fixed_Rowwise,1,1,R01_F01,201,Training,COMP-05480af3b167ab05,
Fixed_Rowwise,1,1,R01_F01,202,Training,COMP-598bc18a3ba07a9e,
Fixed_Rowwise,1,1,R01_F01,205,Training,COMP-d8a14990923ce9f7,
Fixed_Rowwise,1,1,R01_F01,207,Training,COMP-948abb1ebd270642,
Fixed_Rowwise,1,1,R01_F01,210,Training,COMP-d7494ade7e8dd694,
Fixed_Rowwise,1,1,R01_F01,211,Training,COMP-b775405901636085,
Fixed_Rowwise,1,1,R01_F01,214,Training,COMP-35e38ea13dc05b9e,
Fixed_Rowwise,1,1,R01_F01,215,Training,COMP-6b4f0394292930ba,
Fixed_Rowwise,1,1,R01_F01,219,Training,COMP-eae7689b221fd7f8,
Fixed_Rowwise,1,1,R01_F01,221,Training,COMP-20d1e620c817cb5a,
Fixed_Rowwise,1,1,R01_F01,224,Training,COMP-93900d7c81c38cdd,
Fixed_Rowwise,1,1,R01_F01,225,Training,COMP-289a02a6b94655b9,
Fixed_Rowwise,1,1,R01_F01,226,Training,COMP-93900d7c81c38cdd,
Fixed_Rowwise,1,1,R01_F01,228,Training,COMP-46e30c1bd5e987da,
Fixed_Rowwise,1,1,R01_F01,230,Training,COMP-0107563adaed8d01,
Fixed_Rowwise,1,1,R01_F01,232,Training,COMP-0e256dc7494452a7,
Fixed_Rowwise,1,1,R01_F01,233,Training,COMP-e60cc4ecffe6b7df,
Fixed_Rowwise,1,1,R01_F01,235,Training,COMP-091a20b5a1dfb76f,
Fixed_Rowwise,1,1,R01_F01,236,Training,COMP-44fea4804e888e0a,
Fixed_Rowwise,1,1,R01_F01,237,Training,COMP-4ef2bcae5243588c,
Fixed_Rowwise,1,1,R01_F01,239,Training,COMP-0b765af90e5ebd4c,
Fixed_Rowwise,1,1,R01_F01,240,Training,COMP-0b765af90e5ebd4c,
Fixed_Rowwise,1,1,R01_F01,241,Training,COMP-631a18a4a6b20c0c,
Fixed_Rowwise,1,1,R01_F01,242,Training,COMP-631a18a4a6b20c0c,
Fixed_Rowwise,1,1,R01_F01,243,Training,COMP-b0cc51380afea02b,
Fixed_Rowwise,1,1,R01_F01,247,Training,COMP-e295ac85ac1ada41,
Fixed_Rowwise,1,1,R01_F01,249,Training,COMP-e295ac85ac1ada41,
Fixed_Rowwise,1,1,R01_F01,251,Training,COMP-dd1e9c4c0f247912,
Fixed_Rowwise,1,1,R01_F01,252,Training,COMP-725d39a40881dc4b,
Fixed_Rowwise,1,1,R01_F01,253,Training,COMP-725d39a40881dc4b,
Fixed_Rowwise,1,1,R01_F01,255,Training,COMP-95a56990f4bea8a9,
Fixed_Rowwise,1,1,R01_F01,257,Training,COMP-95a56990f4bea8a9,
Fixed_Rowwise,1,1,R01_F01,258,Training,COMP-95a56990f4bea8a9,
Fixed_Rowwise,1,1,R01_F01,259,Training,COMP-95a56990f4bea8a9,
Fixed_Rowwise,1,1,R01_F01,260,Training,COMP-95a56990f4bea8a9,
Fixed_Rowwise,1,1,R01_F01,263,Training,COMP-95a56990f4bea8a9,
Fixed_Rowwise,1,1,R01_F01,266,Training,COMP-95a56990f4bea8a9,
Fixed_Rowwise,1,1,R01_F01,268,Training,COMP-95a56990f4bea8a9,
Fixed_Rowwise,1,1,R01_F01,271,Training,COMP-95a56990f4bea8a9,
Fixed_Rowwise,1,1,R01_F01,272,Training,COMP-95a56990f4bea8a9,
Fixed_Rowwise,1,1,R01_F01,273,Training,COMP-95a56990f4bea8a9,
Fixed_Rowwise,1,1,R01_F01,282,Training,COMP-95a56990f4bea8a9,
Fixed_Rowwise,1,1,R01_F01,283,Training,COMP-95a56990f4bea8a9,
Fixed_Rowwise,1,1,R01_F01,285,Training,COMP-95a56990f4bea8a9,
Fixed_Rowwise,1,1,R01_F01,286,Training,COMP-478c9f483894c42c,
Fixed_Rowwise,1,1,R01_F01,292,Training,COMP-478c9f483894c42c,
Fixed_Rowwise,1,1,R01_F01,295,Training,COMP-478c9f483894c42c,
Fixed_Rowwise,1,1,R01_F01,300,Training,COMP-478c9f483894c42c,
Fixed_Rowwise,1,1,R01_F01,306,Training,COMP-478c9f483894c42c,
Fixed_Rowwise,1,1,R01_F01,307,Training,COMP-478c9f483894c42c,
Fixed_Rowwise,1,1,R01_F01,309,Training,COMP-478c9f483894c42c,
Fixed_Rowwise,1,1,R01_F01,310,Training,COMP-478c9f483894c42c,
Fixed_Rowwise,1,1,R01_F01,311,Training,COMP-478c9f483894c42c,
Fixed_Rowwise,1,1,R01_F01,313,Training,COMP-478c9f483894c42c,
Fixed_Rowwise,1,1,R01_F01,315,Training,COMP-478c9f483894c42c,
Fixed_Rowwise,1,1,R01_F01,316,Training,COMP-478c9f483894c42c,
Fixed_Rowwise,1,1,R01_F01,321,Training,COMP-dbc0864492ec7b98,
Fixed_Rowwise,1,1,R01_F01,323,Training,COMP-dbc0864492ec7b98,
Fixed_Rowwise,1,1,R01_F01,324,Training,COMP-dbc0864492ec7b98,
Fixed_Rowwise,1,1,R01_F01,326,Training,COMP-dbc0864492ec7b98,
Fixed_Rowwise,1,1,R01_F01,327,Training,COMP-dbc0864492ec7b98,
Fixed_Rowwise,1,1,R01_F01,328,Training,COMP-dbc0864492ec7b98,
Fixed_Rowwise,1,1,R01_F01,331,Training,COMP-dbc0864492ec7b98,
Fixed_Rowwise,1,1,R01_F01,333,Training,COMP-dbc0864492ec7b98,
Fixed_Rowwise,1,1,R01_F01,334,Training,COMP-dbc0864492ec7b98,
Fixed_Rowwise,1,1,R01_F01,337,Training,COMP-06072d2dd3b021af,
Fixed_Rowwise,1,1,R01_F01,339,Training,COMP-06072d2dd3b021af,
Fixed_Rowwise,1,1,R01_F01,344,Training,COMP-e1e52574fbb04f58,
Fixed_Rowwise,1,1,R01_F01,345,Training,COMP-e1e52574fbb04f58,
Fixed_Rowwise,1,1,R01_F01,347,Training,COMP-e1e52574fbb04f58,
Fixed_Rowwise,1,1,R01_F01,348,Training,COMP-30cef922979fb9fd,
Fixed_Rowwise,1,1,R01_F01,349,Training,COMP-30cef922979fb9fd,
Fixed_Rowwise,1,1,R01_F01,350,Training,COMP-30cef922979fb9fd,
Fixed_Rowwise,1,1,R01_F01,352,Training,COMP-30cef922979fb9fd,
Fixed_Rowwise,1,1,R01_F01,354,Training,COMP-59f47d6774b9fdfb,
Fixed_Rowwise,1,1,R01_F01,356,Training,COMP-59f47d6774b9fdfb,
Fixed_Rowwise,1,1,R01_F01,358,Training,COMP-59f47d6774b9fdfb,
Fixed_Rowwise,1,1,R01_F01,363,Training,COMP-0765adc8c505dd3b,
Fixed_Rowwise,1,1,R01_F01,364,Training,COMP-0765adc8c505dd3b,
Fixed_Rowwise,1,1,R01_F01,369,Training,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,375,Training,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,376,Training,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,378,Training,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,380,Training,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,382,Training,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,384,Training,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,386,Training,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,387,Training,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,388,Training,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,389,Training,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,391,Training,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,393,Training,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,395,Training,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,399,Training,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,402,Training,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,405,Training,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,406,Training,COMP-7fb1fecc93ced403,
Fixed_Rowwise,1,1,R01_F01,413,Training,COMP-a85acb2f2da0216b,
Fixed_Rowwise,1,1,R01_F01,414,Training,COMP-a85acb2f2da0216b,
Fixed_Rowwise,1,1,R01_F01,418,Training,COMP-a85acb2f2da0216b,
Fixed_Rowwise,1,1,R01_F01,422,Training,COMP-edeedccfd8f07e13,
Fixed_Rowwise,1,1,R01_F01,424,Training,COMP-f9d9cbed014e8b80,
Fixed_Rowwise,1,1,R01_F01,425,Training,COMP-f9d9cbed014e8b80,
Fixed_Rowwise,1,1,R01_F01,427,Training,COMP-f9d9cbed014e8b80,
Fixed_Rowwise,1,1,R01_F01,429,Training,COMP-f9d9cbed014e8b80,
Fixed_Rowwise,1,1,R01_F01,431,Training,COMP-f9d9cbed014e8b80,
Fixed_Rowwise,1,1,R01_F01,432,Training,COMP-f9d9cbed014e8b80,
Fixed_Rowwise,1,1,R01_F01,434,Training,COMP-f9d9cbed014e8b80,
Fixed_Rowwise,1,1,R01_F01,438,Training,COMP-f9d9cbed014e8b80,
Fixed_Rowwise,1,1,R01_F01,440,Training,COMP-f9d9cbed014e8b80,
Fixed_Rowwise,1,1,R01_F01,441,Training,COMP-f9d9cbed014e8b80,
Fixed_Rowwise,1,1,R01_F01,444,Training,COMP-f9d9cbed014e8b80,
Fixed_Rowwise,1,1,R01_F01,445,Training,COMP-f9d9cbed014e8b80,
Fixed_Rowwise,1,1,R01_F01,449,Training,COMP-f9d9cbed014e8b80,
Fixed_Rowwise,1,1,R01_F01,451,Training,COMP-f9d9cbed014e8b80,
Fixed_Rowwise,1,1,R01_F01,8,Validation,COMP-725d39a40881dc4b,
Fixed_Rowwise,1,1,R01_F01,13,Validation,COMP-27021c945dc6ef2d,
Fixed_Rowwise,1,1,R01_F01,24,Validation,COMP-0b765af90e5ebd4c,
Fixed_Rowwise,1,1,R01_F01,29,Validation,COMP-773f99d6dc417f9e,
Fixed_Rowwise,1,1,R01_F01,36,Validation,COMP-87a7ec252c82f56c,
Fixed_Rowwise,1,1,R01_F01,40,Validation,COMP-1af7d3f3b3b924e5,
Fixed_Rowwise,1,1,R01_F01,41,Validation,COMP-1af7d3f3b3b924e5,
Fixed_Rowwise,1,1,R01_F01,48,Validation,COMP-b611e8d56579c910,
Fixed_Rowwise,1,1,R01_F01,66,Validation,COMP-b8df58296dba2095,
Fixed_Rowwise,1,1,R01_F01,69,Validation,COMP-8cee7ef8867afd2d,
Fixed_Rowwise,1,1,R01_F01,74,Validation,COMP-f9a00d6d8411a0d1,
Fixed_Rowwise,1,1,R01_F01,99,Validation,COMP-ea2a626c3522e4a5,
Fixed_Rowwise,1,1,R01_F01,107,Validation,COMP-384273ac244080b1,
Fixed_Rowwise,1,1,R01_F01,110,Validation,COMP-c1d72bb5d7d164b0,
Fixed_Rowwise,1,1,R01_F01,123,Validation,COMP-0ee2ef468faff8db,
Fixed_Rowwise,1,1,R01_F01,126,Validation,COMP-5502f8bc72167a0b,
Fixed_Rowwise,1,1,R01_F01,133,Validation,COMP-89919c53d3149a2d,
Fixed_Rowwise,1,1,R01_F01,144,Validation,COMP-89919c53d3149a2d,
Fixed_Rowwise,1,1,R01_F01,147,Validation,COMP-055230aabe7d502c,
Fixed_Rowwise,1,1,R01_F01,162,Validation,COMP-ddfcf6030a718a0c,
Fixed_Rowwise,1,1,R01_F01,169,Validation,COMP-92ed17371ff559b6,
Fixed_Rowwise,1,1,R01_F01,175,Validation,COMP-b72f6533b137a4f6,
Fixed_Rowwise,1,1,R01_F01,178,Validation,COMP-b9abc443805301b1,
Fixed_Rowwise,1,1,R01_F01,182,Validation,COMP-630f3050f45faf36,
Fixed_Rowwise,1,1,R01_F01,183,Validation,COMP-630f3050f45faf36,
Fixed_Rowwise,1,1,R01_F01,184,Validation,COMP-0966c0019ec07f39,
Fixed_Rowwise,1,1,R01_F01,194,Validation,COMP-445f55453794f59c,
Fixed_Rowwise,1,1,R01_F01,199,Validation,COMP-6525c735bb50fb1c,
Fixed_Rowwise,1,1,R01_F01,216,Validation,COMP-4a76c05754ee1efa,
Fixed_Rowwise,1,1,R01_F01,229,Validation,COMP-2753cd2e053c8c98,
Fixed_Rowwise,1,1,R01_F01,231,Validation,COMP-0e256dc7494452a7,
Fixed_Rowwise,1,1,R01_F01,238,Validation,COMP-fc5c3e46d2655b62,
Fixed_Rowwise,1,1,R01_F01,246,Validation,COMP-1fc9679353325516,
Fixed_Rowwise,1,1,R01_F01,256,Validation,COMP-95a56990f4bea8a9,
Fixed_Rowwise,1,1,R01_F01,288,Validation,COMP-478c9f483894c42c,
Fixed_Rowwise,1,1,R01_F01,296,Validation,COMP-478c9f483894c42c,
Fixed_Rowwise,1,1,R01_F01,303,Validation,COMP-478c9f483894c42c,
Fixed_Rowwise,1,1,R01_F01,320,Validation,COMP-dbc0864492ec7b98,
Fixed_Rowwise,1,1,R01_F01,322,Validation,COMP-dbc0864492ec7b98,
Fixed_Rowwise,1,1,R01_F01,325,Validation,COMP-dbc0864492ec7b98,
Fixed_Rowwise,1,1,R01_F01,341,Validation,COMP-221944a235b3f36b,
Fixed_Rowwise,1,1,R01_F01,342,Validation,COMP-221944a235b3f36b,
Fixed_Rowwise,1,1,R01_F01,351,Validation,COMP-30cef922979fb9fd,
Fixed_Rowwise,1,1,R01_F01,360,Validation,COMP-0765adc8c505dd3b,
Fixed_Rowwise,1,1,R01_F01,365,Validation,COMP-e1e52574fbb04f58,
Fixed_Rowwise,1,1,R01_F01,371,Validation,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,372,Validation,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,381,Validation,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,404,Validation,COMP-6f2ca218fbd1923b,
Fixed_Rowwise,1,1,R01_F01,408,Validation,COMP-7fb1fecc93ced403,
Fixed_Rowwise,1,1,R01_F01,415,Validation,COMP-a85acb2f2da0216b,
Fixed_Rowwise,1,1,R01_F01,421,Validation,COMP-edeedccfd8f07e13,
Fixed_Rowwise,1,1,R01_F01,448,Validation,COMP-f9d9cbed014e8b80,
Fixed_Rowwise,1,1,R01_F01,450,Validation,COMP-f9d9cbed014e8b80,
Fixed_Rowwise,1,2,R01_F02,1,Training,COMP-27021c945dc6ef2d,
Fixed_Rowwise,1,2,R01_F02,3,Training,COMP-725d39a40881dc4b,
Fixed_Rowwise,1,2,R01_F02,5,Training,COMP-8e1fe5f59d3c7565,
Fixed_Rowwise,1,2,R01_F02,6,Training,COMP-27021c945dc6ef2d,
Fixed_Rowwise,1,2,R01_F02,7,Training,COMP-725d39a40881dc4b,
Fixed_Rowwise,1,2,R01_F02,8,Training,COMP-725d39a40881dc4b,
Fixed_Rowwise,1,2,R01_F02,10,Training,COMP-725d39a40881dc4b,
Fixed_Rowwise,1,2,R01_F02,12,Training,COMP-725d39a40881dc4b,
Fixed_Rowwise,1,2,R01_F02,13,Training,COMP-27021c945dc6ef2d,
Fixed_Rowwise,1,2,R01_F02,17,Training,COMP-773f99d6dc417f9e,
Fixed_Rowwise,1,2,R01_F02,20,Training,COMP-0b765af90e5ebd4c,
Fixed_Rowwise,1,2,R01_F02,21,Training,COMP-0b765af90e5ebd4c,
Fixed_Rowwise,1,2,R01_F02,23,Training,COMP-81f8a3600f73b006,
Fixed_Rowwise,1,2,R01_F02,24,Training,COMP-0b765af90e5ebd4c,
Fixed_Rowwise,1,2,R01_F02,27,Training,COMP-73d52e7a36d559a9,
Fixed_Rowwise,1,2,R01_F02,29,Training,COMP-773f99d6dc417f9e,
Fixed_Rowwise,1,2,R01_F02,32,Training,COMP-81f8a3600f73b006,
Fixed_Rowwise,1,2,R01_F02,35,Training,COMP-a87a2533a652007c,
Fixed_Rowwise,1,2,R01_F02,36,Training,COMP-87a7ec252c82f56c,
Fixed_Rowwise,1,2,R01_F02,37,Training,COMP-f6d84b53636ddfbe,
Fixed_Rowwise,1,2,R01_F02,40,Training,COMP-1af7d3f3b3b924e5,
Fixed_Rowwise,1,2,R01_F02,41,Training,COMP-1af7d3f3b3b924e5,
Fixed_Rowwise,1,2,R01_F02,43,Training,COMP-9b0e3106e10f71db,
Fixed_Rowwise,1,2,R01_F02,44,Training,COMP-0d7ce00a50a6a24f,
Fixed_Rowwise,1,2,R01_F02,45,Training,COMP-59ce4655e65cf94a,
Fixed_Rowwise,1,2,R01_F02,47,Training,COMP-e295ac85ac1ada41,
Fixed_Rowwise,1,2,R01_F02,48,Training,COMP-b611e8d56579c910,
Fixed_Rowwise,1,2,R01_F02,49,Training,COMP-92ece298f11712f0,
Fixed_Rowwise,1,2,R01_F02,51,Training,COMP-dbc0864492ec7b98,
Fixed_Rowwise,1,2,R01_F02,53,Training,COMP-06f5d2a767a65349,
Fixed_Rowwise,1,2,R01_F02,54,Training,COMP-ea1f0dc96a173899,
Fixed_Rowwise,1,2,R01_F02,60,Training,COMP-3f22c6642a7a1344,
Fixed_Rowwise,1,2,R01_F02,63,Training,COMP-21d126c9d34df073,
Fixed_Rowwise,1,2,R01_F02,64,Training,COMP-3157f0dc71f862ff,
Fixed_Rowwise,1,2,R01_F02,65,Training,COMP-7c0b488137fafb3b,
Fixed_Rowwise,1,2,R01_F02,66,Training,COMP-b8df58296dba2095,
Fixed_Rowwise,1,2,R01_F02,67,Training,COMP-49d8e1edbf1c2fbd,
Fixed_Rowwise,1,2,R01_F02,68,Training,COMP-21d126c9d34df073,
Fixed_Rowwise,1,2,R01_F02,69,Training,COMP-8cee7ef8867afd2d,
Fixed_Rowwise,1,2,R01_F02,74,Training,COMP-f9a00d6d8411a0d1,
Fixed_Rowwise,1,2,R01_F02,80,Training,COMP-a14831ff30c0b14d,
Fixed_Rowwise,1,2,R01_F02,83,Training,COMP-e913f917a7e36868,
Fixed_Rowwise,1,2,R01_F02,84,Training,COMP-a14831ff30c0b14d,
Fixed_Rowwise,1,2,R01_F02,85,Training,COMP-e913f917a7e36868,
Fixed_Rowwise,1,2,R01_F02,86,Training,COMP-ea2a626c3522e4a5,
Fixed_Rowwise,1,2,R01_F02,87,Training,COMP-a14831ff30c0b14d,
Fixed_Rowwise,1,2,R01_F02,88,Training,COMP-ea2a626c3522e4a5,
Fixed_Rowwise,1,2,R01_F02,92,Training,COMP-ea2a626c3522e4a5,
Fixed_Rowwise,1,2,R01_F02,95,Training,COMP-ea2a626c3522e4a5,
Fixed_Rowwise,1,2,R01_F02,96,Training,COMP-ea2a626c3522e4a5,
Fixed_Rowwise,1,2,R01_F02,97,Training,COMP-a14831ff30c0b14d,
Fixed_Rowwise,1,2,R01_F02,98,Training,COMP-e913f917a7e36868,
Fixed_Rowwise,1,2,R01_F02,99,Training,COMP-ea2a626c3522e4a5,
