Original_Index,Data_Split
234,Final_Test
235,Proper_Training
236,Proper_Training
237,Proper_Training
238,Proper_Training
239,Proper_Training
240,Proper_Training
241,Proper_Training
242,Proper_Training
243,Proper_Training
244,Final_Test
245,Final_Test
246,Proper_Training
247,Proper_Training
248,Final_Test
249,Proper_Training
250,Calibration
251,Proper_Training
252,Proper_Training
253,Proper_Training
254,Calibration
255,Proper_Training
256,Proper_Training
257,Proper_Training
258,Proper_Training
259,Proper_Training
260,Proper_Training
261,Calibration
262,Calibration
263,Proper_Training
264,Calibration
265,Calibration
266,Proper_Training
267,Calibration
268,Proper_Training
269,Calibration
270,Calibration
271,Proper_Training
272,Proper_Training
273,Proper_Training
274,Calibration
275,Final_Test
276,Calibration
277,Calibration
278,Final_Test
279,Calibration
280,Final_Test
281,Calibration
282,Proper_Training
283,Proper_Training
284,Final_Test
285,Proper_Training
286,Proper_Training
287,Final_Test
288,Proper_Training
289,Final_Test
290,Final_Test
291,Final_Test
292,Proper_Training
293,Calibration
294,Calibration
295,Proper_Training
296,Proper_Training
297,Final_Test
298,Final_Test
299,Final_Test
300,Proper_Training
301,Calibration
302,Final_Test
303,Proper_Training
304,Final_Test
305,Calibration
306,Proper_Training
307,Proper_Training
308,Calibration
309,Proper_Training
310,Proper_Training
311,Proper_Training
312,Final_Test
313,Proper_Training
314,Calibration
315,Proper_Training
316,Proper_Training
317,Final_Test
318,Calibration
319,Calibration
320,Proper_Training
321,Proper_Training
322,Proper_Training
323,Proper_Training
324,Proper_Training
325,Proper_Training
326,Proper_Training
327,Proper_Training
328,Proper_Training
329,Calibration
330,Calibration
331,Proper_Training
332,Final_Test
333,Proper_Training
334,Proper_Training
335,Calibration
336,Final_Test
337,Proper_Training
338,Final_Test
339,Proper_Training
340,Final_Test
341,Proper_Training
342,Proper_Training
343,Calibration
344,Proper_Training
345,Proper_Training
346,Calibration
347,Proper_Training
348,Proper_Training
349,Proper_Training
350,Proper_Training
351,Proper_Training
352,Proper_Training
353,Final_Test
354,Proper_Training
355,Final_Test
356,Proper_Training
357,Calibration
358,Proper_Training
359,Calibration
360,Proper_Training
361,Calibration
362,Calibration
363,Proper_Training
364,Proper_Training
365,Proper_Training
366,Calibration
367,Calibration
368,Final_Test
369,Proper_Training
370,Final_Test
371,Proper_Training
372,Proper_Training
373,Final_Test
374,Calibration
375,Proper_Training
376,Proper_Training
377,Calibration
378,Proper_Training
379,Final_Test
380,Proper_Training
381,Proper_Training
382,Proper_Training
383,Final_Test
384,Proper_Training
385,Calibration
386,Proper_Training
387,Proper_Training
388,Proper_Training
389,Proper_Training
390,Final_Test
391,Proper_Training
392,Calibration
393,Proper_Training
394,Calibration
395,Proper_Training
396,Final_Test
397,Calibration
398,Final_Test
399,Proper_Training
400,Final_Test
401,Final_Test
402,Proper_Training
403,Calibration
404,Proper_Training
405,Proper_Training
406,Proper_Training
407,Calibration
408,Proper_Training
409,Final_Test
410,Calibration
411,Calibration
412,Calibration
413,Proper_Training
414,Proper_Training
415,Proper_Training
416,Calibration
417,Final_Test
418,Proper_Training
419,Calibration
420,Final_Test
421,Proper_Training
422,Proper_Training
423,Final_Test
424,Proper_Training
425,Proper_Training
426,Final_Test
427,Proper_Training
428,Final_Test
429,Proper_Training
430,Calibration
431,Proper_Training
432,Proper_Training
433,Final_Test
434,Proper_Training
435,Calibration
436,Calibration
437,Final_Test
438,Proper_Training
439,Final_Test
440,Proper_Training
441,Proper_Training
442,Final_Test
443,Final_Test
444,Proper_Training
445,Proper_Training
446,Final_Test
447,Final_Test
448,Proper_Training
449,Proper_Training
450,Proper_Training
451,Proper_Training
